#ZVView-data-copy:  12-Mar-2026 01:27:57
#=======================================
#
#name:   JENDL-5: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45375
#data...
#            X            Y
#          MeV        barns
    1.58761e-6      14.8478 
    1.64424e-6      14.4044 
    1.71482e-6      13.9528 
     1.7759e-6      13.6376 
    1.82636e-6      13.4494 
    1.86555e-6      13.3893 
    1.88949e-6      13.4276 
    1.90616e-6      13.5172 
    1.92143e-6      13.6774 
    1.93161e-6      13.8506 
    1.94179e-6      14.1067 
    1.94942e-6      14.3784 
    1.95706e-6      14.7479 
    1.96214e-6      15.0668 
    1.96723e-6      15.4595 
    1.97232e-6       15.942 
    1.97741e-6      16.5306 
    1.98161e-6      17.1073 
    1.98581e-6      17.7735 
    1.98861e-6      18.2692 
     1.9937e-6      19.2751 
    1.99879e-6      20.4038 
    2.00897e-6      22.8899 
    2.01457e-6       24.249 
    2.02017e-6      25.4682 
    2.02501e-6       26.321 
    2.02823e-6      26.7502 
    2.03146e-6      27.0487 
    2.03544e-6      27.2203 
    2.03634e-6      27.2277 
    2.04001e-6      27.1379 
    2.04307e-6      26.9176 
    2.04699e-6      26.4538 
    2.05076e-6      25.8378 
    2.05453e-6      25.0839 
    2.06019e-6      23.7681 
     2.0731e-6      20.4923 
    2.07819e-6       19.283 
    2.08328e-6      18.1855 
    2.08837e-6      17.2179 
    2.09257e-6      16.5203 
    2.09753e-6      15.8084 
    2.10249e-6      15.2076 
    2.10644e-6         14.8 
    2.11102e-6      14.3937 
    2.11789e-6       13.896 
    2.12462e-6      13.5103 
    2.13109e-6      13.2118 
     2.1397e-6       12.894 
    2.14839e-6      12.6406 
    2.16166e-6      12.3412 
     2.1754e-6      12.1041 
    2.19703e-6      11.8212 
    2.22803e-6      11.5219 
    2.26891e-6      11.2199 
    2.34538e-6      10.7621 
    2.44606e-6      10.1765 
    2.49794e-6       9.8159 
    2.53318e-6      9.51815 
    2.55999e-6      9.24713 
    2.58704e-6      8.91998 
    2.61435e-6      8.52123 
    2.64192e-6      8.04609 
    2.66987e-6       7.5405 
    2.68332e-6      7.34125 
    2.69158e-6      7.25792 
    2.69984e-6      7.22138 
    2.70603e-6      7.23481 
    2.71222e-6      7.29178 
    2.71705e-6      7.37127 
    2.72187e-6      7.48532 
    2.72669e-6      7.63703 
    2.73152e-6      7.82893 
    2.73634e-6      8.06279 
    2.74115e-6      8.33847 
    2.74595e-6      8.65585 
    2.75208e-6      9.12034 
    2.75897e-6      9.71432 
    2.76783e-6      10.5688 
    2.78052e-6       11.903 
    2.79401e-6      13.3367 
    2.80194e-6       14.134 
    2.80987e-6      14.8715 
    2.81781e-6      15.5371 
    2.82574e-6      16.1259 
    2.83367e-6      16.6395 
    2.84557e-6      17.2838 
    2.85351e-6      17.6435 
    2.86937e-6      18.2458 
    2.90904e-6      19.5272 
    2.92491e-6      20.1061 
    2.94077e-6      20.7898 
