#ZVView-data-copy:  12-Mar-2026 01:29:20
#=======================================
#
#name:   BROND-3.1: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  45492
#data...
#            X            Y
#          MeV        barns
    1.53115e-6      15.6351 
    1.57466e-6      15.2423 
    1.64225e-6      14.7619 
    1.72474e-6      14.2935 
    1.79877e-6      13.9647 
    1.84989e-6      13.8248 
    1.87368e-6      13.8115 
     1.8935e-6      13.8495 
    1.91352e-6      13.9684 
    1.92692e-6      14.1276 
    1.93864e-6      14.3568 
    1.94826e-6      14.6461 
    1.95548e-6      14.9534 
     1.9627e-6      15.3711 
    1.96751e-6        15.73 
    1.97232e-6       16.169 
    1.97714e-6      16.7026 
    1.98195e-6      17.3441 
    1.98676e-6      18.1037 
    1.99157e-6      18.9849 
    1.99639e-6      19.9816 
     2.0036e-6      21.6459 
    2.01323e-6       23.955 
    2.01768e-6      24.9338 
    2.02177e-6      25.7147 
    2.02502e-6      26.2241 
    2.02863e-6      26.6498 
    2.03224e-6      26.9084 
    2.03568e-6      26.9873 
    2.03915e-6      26.8966 
    2.04258e-6      26.6432 
    2.04679e-6      26.1255 
     2.0504e-6      25.5234 
    2.05461e-6      24.6733 
    2.05942e-6      23.5652 
    2.07145e-6      20.6019 
    2.07627e-6      19.4888 
    2.08108e-6      18.4727 
    2.08589e-6      17.5703 
     2.0907e-6      16.7862 
    2.09551e-6      16.1159 
    2.10033e-6      15.5493 
    2.10514e-6      15.0735 
    2.10995e-6      14.6747 
    2.11717e-6      14.1931 
    2.12439e-6      13.8185 
    2.13281e-6      13.4786 
    2.14364e-6      13.1467 
    2.15498e-6      12.8825 
    2.16632e-6      12.6739 
    2.18921e-6      12.3545 
     2.2201e-6      12.0398 
    2.26719e-6       11.672 
    2.42503e-6      10.6152 
     2.4738e-6      10.2361 
    2.52346e-6      9.78059 
    2.55167e-6       9.4797 
    2.58767e-6      9.04626 
    2.64267e-6      8.33671 
    2.66124e-6      8.14434 
    2.67527e-6      8.05365 
    2.68463e-6       8.0345 
      2.695e-6      8.06619 
    2.70432e-6      8.15465 
    2.71054e-6       8.2512 
    2.71676e-6      8.38174 
    2.72524e-6      8.61999 
    2.73372e-6      8.93324 
    2.73938e-6      9.18565 
    2.74661e-6      9.56013 
    2.75498e-6      10.0632 
    2.76391e-6      10.6768 
    2.77217e-6      11.3041 
    2.78348e-6      12.2336 
    2.81174e-6      14.6684 
    2.82662e-6      15.8662 
     2.8415e-6      16.9359 
    2.85644e-6      17.8672 
    2.87153e-6      18.6748 
    2.89164e-6      19.6004 
     2.9374e-6      21.5401 
    2.95289e-6      22.2943 
    2.96837e-6      23.1702 
    2.98119e-6       24.023 
    2.99401e-6      25.0271 
    3.00607e-6      26.1453 
    3.01659e-6      27.2912 
    3.02712e-6      28.6276 
    3.03764e-6      30.1887 
    3.04817e-6      32.0101 
    3.05518e-6       33.385 
     3.0622e-6      34.8966 
    3.07273e-6      37.4237 
    3.08325e-6      40.2398 
    3.11062e-6      48.1556 
    3.11763e-6      50.0052 
    3.12465e-6      51.6121 
    3.13166e-6      52.8806 
    3.13693e-6      53.5558 
    3.14331e-6      54.0074 
    3.14696e-6      54.0696 
    3.15271e-6      53.8648 
    3.15833e-6      53.3053 
    3.16464e-6      52.2651 
     3.1699e-6      51.0915 
    3.17517e-6      49.6725 
    3.18113e-6      47.8175 
    3.19008e-6      44.6818 
    3.20955e-6      37.3771 
    3.21656e-6      34.8732 
    3.22358e-6      32.5386 
     3.2306e-6      30.4083 
    3.23761e-6      28.4995 
    3.24288e-6      27.2155 
    3.24814e-6      26.0556 
     3.2534e-6      25.0146 
    3.25866e-6       24.086 
    3.26568e-6      23.0095 
     3.2727e-6      22.1003 
    3.27971e-6      21.3395 
    3.28673e-6      20.7093 
    3.29375e-6      20.1939 
    3.30076e-6       19.779 
    3.30778e-6      19.4525 
    3.31795e-6      19.1157 
    3.32795e-6      18.9207 
    3.33962e-6      18.8401 
    3.35128e-6      18.8991 
    3.36128e-6      19.0514 
    3.37163e-6      19.3031 
    3.38215e-6      19.6564 
    3.39268e-6      20.1103 
     3.4032e-6      20.6709 
    3.41373e-6      21.3479 
    3.42552e-6      22.2632 
    3.43509e-6      23.1448 
    3.44449e-6      24.1546 
    3.45374e-6      25.3093 
    3.46299e-6      26.6541 
    3.46993e-6      27.8096 
    3.47686e-6      29.1122 
     3.4838e-6      30.5849 
    3.49074e-6      32.2548 
    3.49768e-6      34.1532 
    3.50461e-6      36.3161 
    3.51155e-6       38.783 
    3.51617e-6      40.6172 
     3.5208e-6      42.6174 
    3.52542e-6       44.795 
    3.53005e-6      47.1598 
    3.53467e-6       49.719 
    3.54161e-6      53.9269 
    3.54855e-6       58.562 
    3.55548e-6      63.5676 
    3.57398e-6      77.6967 
    3.58092e-6      82.6514 
    3.58554e-6      85.6139 
    3.59063e-6      88.4218 
    3.59479e-6      90.2811 
    3.59896e-6      91.6765 
    3.60358e-6      92.6152 
    3.60821e-6      92.8528 
    3.61167e-6      92.5476 
    3.61625e-6      91.4986 
    3.61963e-6      90.2581 
      3.623e-6      88.6343 
    3.62763e-6      85.8245 
    3.63225e-6      82.4036 
    3.63642e-6      78.8765 
    3.64058e-6      75.0031 
    3.64752e-6      68.0003 
    3.66185e-6      52.8186 
     3.6674e-6      47.1724 
    3.67295e-6      41.8496 
    3.67688e-6      38.3204 
    3.68104e-6      34.8258 
