#ZVView-data-copy:  15-Oct-2023 02:08:41
#=======================================
#
#name:   ENDF/B-VIII.0: U-235(N,F)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  46125
#data...
#            X            Y
#          MeV        barns
    1.77807e-6      13.6276 
     1.8286e-6      13.4431 
    1.86612e-6       13.389 
    1.88981e-6      13.4281 
    1.90943e-6      13.5431 
    1.92245e-6       13.691 
     1.9339e-6      13.8987 
    1.94281e-6      14.1371 
    1.95044e-6        14.42 
    1.95808e-6       14.805 
    1.96316e-6      15.1374 
    1.96825e-6      15.5467 
    1.97334e-6      16.0491 
    1.97843e-6      16.6609 
    1.98352e-6       17.397 
    1.98861e-6      18.2676 
     1.9937e-6      19.2735 
    1.99879e-6      20.4022 
    2.00897e-6      22.8885 
     2.0166e-6      24.7135 
     2.0208e-6      25.5918 
    2.02411e-6        26.18 
    2.02831e-6      26.7582 
     2.0319e-6       27.078 
    2.03554e-6      27.2213 
    2.03661e-6      27.2274 
    2.04043e-6       27.115 
    2.04409e-6      26.8158 
    2.04663e-6      26.5042 
     2.0507e-6      25.8485 
    2.05478e-6      25.0315 
    2.05987e-6      23.8477 
    2.07259e-6      20.6187 
    2.07768e-6      19.3998 
    2.08277e-6        18.29 
    2.08786e-6      17.3089 
    2.09295e-6      16.4616 
    2.09804e-6      15.7421 
    2.10313e-6      15.1381 
    2.10822e-6      14.6342 
    2.11331e-6      14.2143 
     2.1184e-6      13.8638 
    2.12603e-6        13.44 
    2.13366e-6      13.1083 
    2.14435e-6      12.7516 
     2.1525e-6      12.5386 
    2.16768e-6      12.2302 
    2.18286e-6      11.9967 
    2.20596e-6      11.7254 
    2.22927e-6      11.5114 
    2.27656e-6      11.1698 
    2.39103e-6      10.5042 
    2.45635e-6      10.1095 
    2.50404e-6      9.76756 
    2.53582e-6      9.49275 
    2.56761e-6      9.16037 
    2.59145e-6      8.85992 
    2.61529e-6      8.50546 
    2.63119e-6      8.23777 
    2.67092e-6      7.52143 
    2.68284e-6      7.34519 
    2.69079e-6      7.26184 
    2.69913e-6      7.21972 
    2.70132e-6      7.21844 
    2.70787e-6      7.24409 
    2.71403e-6      7.31486 
     2.7194e-6      7.41935 
    2.72476e-6      7.56855 
    2.73052e-6      7.78299 
    2.73648e-6      8.06744 
    2.74244e-6      8.41724 
      2.749e-6      8.87648 
    2.75496e-6       9.3576 
    2.76152e-6       9.9486 
    2.76867e-6      10.6527 
    2.78377e-6      12.2514 
    2.79549e-6      13.4894 
    2.80681e-6      14.5951 
    2.81436e-6      15.2573 
    2.82191e-6      15.8509 
    2.82986e-6      16.4007 
    2.83781e-6      16.8777 
    2.84973e-6      17.4756 
    2.86125e-6      17.9497 
     2.8839e-6      18.7149 
     2.9141e-6      19.6955 
    2.92916e-6      20.2692 
    2.94422e-6       20.947 
    2.95924e-6      21.7617 
     2.9705e-6      22.4869 
    2.98218e-6      23.3652 
    2.99407e-6      24.4172 
    3.00596e-6      25.6602 
    3.01388e-6      26.6133 
    3.02181e-6      27.6802 
    3.02973e-6      28.8738 
    3.03766e-6      30.2073 
    3.04558e-6      31.6929 
    3.05351e-6      33.3402 
    3.06143e-6      35.1544 
    3.06936e-6      37.1327 
    3.08006e-6      40.0362 
    3.10581e-6      47.5049 
    3.11374e-6      49.6268 
    3.12166e-6      51.4744 
    3.12761e-6      52.6064 
    3.13252e-6      53.3389 
    3.13704e-6      53.8274 
    3.14282e-6      54.1692 
    3.14572e-6      54.2136 
    3.15178e-6      54.0239 
    3.15812e-6      53.4146 
    3.16327e-6      52.6201 
    3.16921e-6      51.3944 
    3.17516e-6      49.8754 
     3.1811e-6      48.1123 
    3.18903e-6      45.4789 
     3.2128e-6      36.9131 
    3.22073e-6      34.2095 
    3.22865e-6      31.7078 
     3.2346e-6       29.987 
    3.24054e-6      28.4082 
    3.24648e-6      26.9733 
    3.25243e-6      25.6798 
    3.25837e-6       24.522 
    3.26432e-6      23.4925 
    3.27026e-6      22.5824 
     3.2762e-6      21.7823 
    3.28413e-6      20.8706 
    3.29205e-6       20.117 
    3.29998e-6      19.5024 
     3.3079e-6        19.01 
    3.31583e-6      18.6253 
    3.32375e-6      18.3365 
    3.33168e-6      18.1336 
    3.34198e-6      17.9855 
    3.34832e-6      17.9542 
    3.36021e-6      18.0097 
     3.3721e-6      18.2071 
    3.38398e-6      18.5438 
    3.39587e-6      19.0235 
    3.40776e-6      19.6563 
    3.41838e-6      20.3648 
    3.42836e-6      21.1709 
    3.43835e-6      22.1334 
    3.44555e-6        22.94 
    3.45276e-6      23.8547 
    3.45996e-6       24.893 
    3.46717e-6      26.0735 
    3.47437e-6       27.419 
    3.48158e-6      28.9567 
    3.48878e-6      30.7191 
    3.49599e-6      32.7444 
    3.50079e-6      34.2623 
    3.50559e-6       35.931 
     3.5104e-6      37.7659 
     3.5152e-6      39.7826 
       3.52e-6      41.9966 
    3.52481e-6      44.4225 
    3.52961e-6      47.0726 
    3.53441e-6      49.9554 
    3.53922e-6      53.0741 
    3.54402e-6      56.4243 
    3.55122e-6      61.8494 
    3.56083e-6       69.655 
    3.57284e-6      79.6603 
    3.58052e-6      85.6172 
    3.58629e-6      89.5294 
    3.59061e-6      92.0142 
    3.59541e-6      94.2126 
    3.60022e-6      95.7224 
    3.60382e-6      96.3532 
