#ZVView-data-copy:   4-Feb-2026 15:51:44
#=======================================
#
#name:   ENDF/B-VIII.1: LI-6(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  831
#data...
#            X            Y
#          MeV        barns
    3.34475e-5      26.5286 
    3.66372e-5      25.3859 
    3.68938e-5      25.3046 
    3.95708e-5      24.4569 
    4.33445e-5      23.3949 
    4.71454e-5      22.4682 
    4.74757e-5      22.3876 
    5.12797e-5      21.5737 
    5.16389e-5      21.4968 
    5.57765e-5      20.7129 
    5.61672e-5      20.6389 
    6.02426e-5       19.961 
    6.06676e-5      19.8903 
    6.64498e-5      19.0334 
    7.22769e-5      18.2822 
    7.80682e-5      17.6219 
     7.8615e-5      17.5596 
    8.61121e-5      16.8076 
    8.67153e-5      16.7547 
    9.36634e-5      16.1453 
    9.43195e-5      16.0949 
   0.000101877       15.515 
    0.00010259      15.4603 
   0.000110811      14.9042 
   0.000111587      14.8517 
   0.000119684      14.3702 
   0.000120528        14.32 
   0.000132015      13.7123 
   0.000132947      13.6694 
   0.000143592      13.1793 
   0.000155097      12.7104 
   0.000156184      12.6661 
   0.000171078      12.1327 
   0.000172276      12.0954 
   0.000187384       11.626 
   0.000202398      11.2156 
   0.000203816      11.1769 
   0.000221689      10.7485 
   0.000223252       10.711 
   0.000231204      10.5439 
   0.000239452      10.3706 
   0.000241129      10.3353 
   0.000264124      9.90558 
   0.000265974      9.87549 
   0.000287285      9.52888 
   0.000310289      9.19771 
   0.000312478       9.1662 
    0.00034226       8.7894 
   0.000344675       8.7629 
     0.0003749      8.43115 
   0.000404919      8.14195 
   0.000407775      8.11443 
   0.000440427      7.83922 
   0.000449791      7.76029 
   0.000479048      7.54565 
   0.000489234      7.47093 
   0.000532136      7.19304 
   0.000570747      6.97395 
   0.000578799      6.92826 
   0.000620797      6.71756 
   0.000638437      6.62906 
   0.000684762      6.42881 
   0.000689559      6.40988 
    0.00074481      6.19192 
   0.000810123      5.97171 
   0.000833143       5.8941 
   0.000881164      5.75424 
   0.000899855      5.69981 
   0.000958435      5.54781 
   0.000978765      5.49506 
    0.00106459      5.29856 
    0.00114184      5.14234 
     0.0011499      5.12605 
    0.00124197      4.96268 
    0.00127726      4.90006 
    0.00136994      4.75855 
     0.0013796      4.74508 
    0.00149007      4.59113 
    0.00162074      4.43544 
    0.00166679      4.38057 
    0.00176286      4.28169 
    0.00180035      4.24311 
    0.00190411      4.14796 
    0.00195822      4.09835 
    0.00211502      3.97165 
    0.00212994      3.95959 
    0.00226849      3.86078 
    0.00230049      3.83795 
    0.00248482      3.72253 
    0.00255543      3.67832 
    0.00274085      3.57838 
    0.00276005      3.56893 
    0.00287852      3.51063 
    0.00297807      3.46175 
     0.0029812      3.46022 
    0.00323922      3.35187 
    0.00333476      3.31175 
    0.00352328      3.24335 
    0.00360179      3.21486 
    0.00380539      3.14856 
    0.00389038      3.12088 
     0.0042271      3.02473 
    0.00429123      3.00641 
    0.00453382      2.94654 
    0.00470023      2.90547 
    0.00495908      2.84892 
    0.00507684      2.82319 
    0.00550863      2.74057 
    0.00552204      2.73801 
    0.00594972       2.6672 
    0.00617695      2.62958 
    0.00644368      2.59155 
    0.00675501      2.54718 
    0.00708006      2.50678 
    0.00745103      2.46067 
    0.00775525      2.42824 
    0.00830298      2.36984 
    0.00855433      2.34661 
    0.00896826      2.30834 
    0.00930447      2.28067 
     0.0097547      2.24362 
     0.0101411      2.21589 
     0.0102842      2.20562 
     0.0106101       2.1824 
     0.0110304      2.15642 
     0.0115405       2.1249 
     0.0123323      2.08192 
     0.0128381      2.05447 
       0.01351      2.02307 
     0.0137696      2.01094 
     0.0149021      1.96246 
     0.0149545      1.96022 
      0.016606      1.89894 
     0.0179365      1.85632 
     0.0180622       1.8523 
     0.0195094      1.81084 
     0.0197846      1.80295 
     0.0213295      1.76752 
     0.0224459      1.74192 
     0.0228476      1.73413 
     0.0229724      1.73175 
     0.0250951      1.69111 
     0.0254963      1.68444 
     0.0271045      1.65771 
     0.0273463      1.65411 
     0.0298973      1.61613 
     0.0299089      1.61601 
          0.03      1.61507 
     0.0332119      1.58306 
      0.035873      1.55654 
     0.0390188      1.52519 
          0.04      1.51541 
      0.042604      1.49942 
     0.0426591       1.4991 
     0.0459447      1.48011 
          0.05      1.45666 
     0.0509927      1.45321 
     0.0521462      1.44921 
     0.0546927      1.44139 
     0.0598178      1.42567 
     0.0604114      1.42385 
     0.0616928      1.42189 
     0.0664238      1.41696 
     0.0704767      1.41273 
     0.0709704      1.41281 
     0.0717461      1.41342 
     0.0777255       1.4181 
     0.0805643      1.42032 
     0.0851377      1.43228 
          0.09        1.445 
     0.0906349       1.4473 
     0.0918894      1.45311 
           0.1       1.4907 
      0.101985      1.50483 
      0.108843      1.55365 
          0.11      1.56188 
      0.119636      1.66043 
          0.12      1.66416 
          0.13      1.80667 
      0.132848      1.86246 
          0.14      2.00258 
      0.143492      2.09622 
          0.15      2.27072 
      0.155451      2.47078 
          0.16      2.63775 
          0.17      3.14083 
      0.171134      3.21885 
      0.179799      3.81527 
      0.184908      4.25353 
      0.187851      4.54806 
          0.19      4.76307 
         0.195      5.33972 
           0.2      5.99513 
         0.205      6.72724 
      0.206803       7.0154 
          0.21      7.52617 
      0.216517      8.62541 
      0.219017      9.04433 
          0.22      9.20633 
         0.225      10.0068 
         0.229      10.5618 
      0.229666      10.6451 
          0.23       10.687 
         0.232      10.9198 
         0.233      11.0187 
         0.235       11.205 
         0.236      11.2813 
         0.237      11.3512 
         0.239      11.4652 
         0.241      11.5354 
      0.242372      11.5648 
         0.243      11.5736 
         0.245      11.5746 
         0.246      11.5623 
         0.248      11.5068 
      0.248603      11.4868 
          0.25      11.4208 
         0.251      11.3677 
         0.254      11.1683 
         0.255      11.0855 
         0.258      10.8199 
          0.26      10.6162 
         0.262       10.406 
      0.266869       9.8436 
          0.27      9.46996 
          0.28      8.29469 
          0.29      7.23504 
           0.3      6.34143 
          0.31      5.60768 
          0.32      5.01012 
          0.33      4.52282 
          0.34      4.12302 
      0.349661      3.80335 
          0.36      3.51611 
      0.369038      3.30576 
          0.37      3.28337 
          0.38      3.08548 
           0.4      2.76891 
          0.42      2.52876 
          0.44      2.34162 
          0.46      2.19238 
      0.479745      2.07252 
           0.5      1.97058 
          0.52      1.88779 
      0.523668      1.87315 
      0.525554      1.86653 
          0.54      1.81584 
      0.543809      1.80297 
       0.56395      1.74251 
      0.584091      1.69006 
      0.604232      1.64474 
      0.608465       1.6355 
      0.628747      1.59635 
      0.638809      1.57752 
      0.658186       1.5461 
      0.664656        1.536 
      0.689594      1.50177 
      0.704938      1.48147 
      0.714883      1.47042 
      0.743246      1.43961 
      0.755291      1.42652 
      0.805643      1.38314 
      0.861992      1.34491 
      0.912697      1.31731 
      0.970199      1.29256 
             1      1.28251 
       1.03567      1.26348 
          1.05      1.25706 
       1.05111      1.25682 
       1.11552      1.24296 
       1.12339      1.24188 
           1.2      1.23235 
       1.21693      1.23131 
          1.25      1.22972 
       1.32764      1.23142 
       1.36905      1.23266 
       1.44994      1.24157 
       1.48649      1.24701 
       1.52116      1.25218 
       1.62257      1.27296 
       1.72118      1.29849 
       1.72398      1.29921 
          1.75      1.30566 
       1.76064      1.30853 
           1.8      1.31995 
       1.82539      1.32946 
          1.85      1.33839 
           1.9      1.36049 
       1.92681      1.37358 
          1.95      1.38468 
       1.96376      1.39156 
             2      1.41117 
       2.02822      1.42659 
          2.05      1.43828 
           2.1      1.46485 
       2.10222        1.466 
       2.12963      1.48022 
          2.15      1.49062 
           2.2      1.51532 
          2.25       1.5391 
       2.28174       1.5536 
           2.3      1.56184 
          2.35       1.5835 
           2.4       1.6043 
          2.45      1.62433 
           2.5      1.64371 
       2.53527       1.6567 
          2.55      1.66204 
       2.55315      1.66383 
       2.56799      1.67149 
       2.61834        1.697 
          2.65      1.71046 
           2.7      1.73342 
       2.71905      1.74248 
          2.75      1.75553 
          2.85      1.79955 
          2.95      1.84403 
       2.97298      1.85447 
             3      1.86674 
       3.07152      1.89829 
           3.1      1.91108 
       3.17222        1.942 
       3.18372        1.947 
           3.2      1.95408 
          3.22      1.96229 
          3.24      1.97053 
          3.26      1.97886 
       3.27293      1.98431 
          3.28      1.98733 
           3.3      1.99546 
          3.32      2.00368 
          3.34      2.01199 
          3.35      2.01619 
          3.36      2.02048 
       3.37363      2.02598 
          3.38      2.02817 
           3.4      2.03512 
          3.42      2.04213 
       3.42398      2.04354 
          3.44      2.04929 
          3.45      2.05291 
          3.46      2.05617 
          3.48      2.06274 
           3.5      2.06936 
       3.52469      2.07761 
          3.55      2.08508 
           3.6      2.09817 
          3.65      2.10839 
       3.65079      2.10852 
           3.7      2.11698 
          3.75      2.12554 
        3.7522      2.12583 
           3.8      2.12939 
       3.80514      2.12975 
          3.85      2.13299 
           3.9      2.13456 
       3.90798      2.13476 
